reporte_id,ciudadano_id,lat,lon,tipo,created_at,es_hotspot_conocido,operatividad_activo,quema_observada,segregacion_observada,volumen_categoria,permanencia_anios_estimado,cluster_id
0,0,-12.2242067752313,-76.94135027604841,desmonte,2026-06-28,True,False,False,False,medio,4.3,-1
1,0,-12.203263855135896,-76.93684522349922,desmonte,2026-07-03,True,True,False,True,medio,2.8,0
2,0,-12.21133493064363,-76.9570690497815,recojo_consolidado,2026-04-29,True,True,False,True,alto,3.6,1
3,1,-12.202444217277971,-76.95847331264652,reciclaje_domiciliario,2026-05-25,True,False,False,False,alto,4.1,2
4,2,-12.21301084910422,-76.92624278163353,desmonte,2026-06-18,True,False,True,True,medio,4.6,3
5,2,-12.19291222817197,-76.94019307353629,reciclaje_domiciliario,2026-04-27,True,True,True,True,alto,3.5,-1
6,3,-12.19295642408582,-76.95720141413129,desmonte,2026-04-26,True,False,True,False,alto,4.4,4
7,3,-12.193644996642018,-76.9571951233115,desmonte,2026-04-20,True,True,False,False,medio,3.7,4
8,4,-12.193346346121947,-76.95699196313043,desmonte,2026-04-22,True,True,True,True,alto,3.7,4
9,5,-12.197106713780098,-76.9502778426986,desmonte,2026-05-17,True,False,False,False,bajo,1.1,5
10,5,-12.212776888417714,-76.92485720132277,recojo_consolidado,2026-04-10,False,True,False,True,bajo,0.0,3
11,6,-12.193752932737041,-76.95700090419989,reciclaje_domiciliario,2026-05-15,True,True,True,True,medio,2.6,4
12,7,-12.194581635315823,-76.96231461402333,reciclaje_domiciliario,2026-05-03,False,True,True,False,bajo,1.8,-1
13,7,-12.213637291226169,-76.92768471029066,reciclaje_domiciliario,2026-06-22,False,False,False,False,medio,1.0,-1
14,7,-12.216833415550209,-76.94309815271563,desmonte,2026-05-17,True,True,True,False,medio,3.8,6
15,8,-12.194378840066223,-76.93002369831667,reciclaje_domiciliario,2026-06-08,True,True,True,False,alto,0.7,7
16,8,-12.193446428048157,-76.95722605261032,reciclaje_domiciliario,2026-04-23,True,True,False,False,medio,3.3,4
17,9,-12.194153509392947,-76.95688873935184,desmonte,2026-05-05,True,False,True,False,alto,4.9,4
18,9,-12.21299040657063,-76.9321613260529,desmonte,2026-05-02,True,False,False,True,bajo,0.5,8
19,9,-12.192452540400541,-76.95796338878287,desmonte,2026-04-26,True,True,False,False,alto,3.1,4
20,10,-12.190679166547374,-76.93156222100448,desmonte,2026-05-09,True,True,True,False,bajo,0.2,-1
21,11,-12.212808750842571,-76.9256945958728,desmonte,2026-06-27,True,True,False,False,alto,4.3,3
22,12,-12.211488497447014,-76.95649052354283,reciclaje_domiciliario,2026-06-14,True,True,True,False,alto,1.8,1
23,13,-12.193581408255552,-76.95778752902051,desmonte,2026-04-09,True,False,False,True,alto,5.0,4
24,13,-12.204172905746917,-76.94473957855892,reciclaje_domiciliario,2026-05-03,False,False,False,False,bajo,1.2,-1
25,14,-12.212074067866824,-76.93077753010779,desmonte,2026-04-10,True,False,False,False,alto,2.4,8
26,14,-12.216756304067703,-76.94962654332569,desmonte,2026-06-28,True,True,False,False,alto,3.9,9
27,14,-12.229850275343999,-76.94369679910768,reciclaje_domiciliario,2026-06-18,False,True,False,True,bajo,2.8,-1
28,15,-12.212567476349864,-76.9505421442239,desmonte,2026-05-06,True,False,False,False,bajo,1.6,10
29,16,-12.193014239014573,-76.95746189432388,recojo_consolidado,2026-06-30,True,True,False,False,alto,4.9,4
30,16,-12.232683864866756,-76.92613314742722,desmonte,2026-06-28,True,True,True,False,alto,3.3,11
31,16,-12.217006007929129,-76.9418301199993,reciclaje_domiciliario,2026-06-04,True,True,False,True,bajo,2.6,6
32,16,-12.230376702046158,-76.92846143255153,desmonte,2026-05-05,False,False,False,False,medio,0.0,-1
33,17,-12.193647616714884,-76.94114189850752,desmonte,2026-04-09,True,False,False,True,alto,4.5,12
34,18,-12.193743040286122,-76.9582123757705,desmonte,2026-04-08,True,True,False,False,alto,3.4,4
35,18,-12.21691367741095,-76.9430877177311,desmonte,2026-05-26,True,False,False,True,bajo,3.2,6
36,18,-12.212732961435451,-76.92629575052497,desmonte,2026-04-29,True,False,False,True,alto,3.8,3
37,19,-12.192997858593003,-76.95704818827267,desmonte,2026-06-06,True,True,False,False,alto,4.3,4
38,19,-12.216384696851904,-76.92609611669923,recojo_consolidado,2026-05-02,True,False,True,False,bajo,2.1,13
39,19,-12.202916380983604,-76.9367996063787,desmonte,2026-04-15,True,True,False,True,alto,2.4,0
40,19,-12.216355047197052,-76.94221837965284,desmonte,2026-05-09,True,True,True,False,medio,2.1,6
41,20,-12.195109824623838,-76.92962718219921,desmonte,2026-06-22,True,False,False,False,medio,3.2,7
42,20,-12.187351540210464,-76.94899849470829,recojo_consolidado,2026-06-09,False,False,False,False,bajo,0.0,-1
